url,canonical,canonical_status,meta_robots,note
"https://devlo.ch/en/casestudy/hr-54-meetings-dach/","https://devlo.ch/en/casestudy/hr-54-meetings-dach/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/casestudy/merchandising-23-prospects/","https://devlo.ch/en/casestudy/merchandising-23-prospects/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/casestudy/real-estate-30-prospects/","https://devlo.ch/en/casestudy/real-estate-30-prospects/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/casestudy/accounting-200k-revenue/","https://devlo.ch/en/casestudy/accounting-200k-revenue/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/our-call/","https://devlo.ch/en/our-call/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/en/terms/","https://devlo.ch/en/terms/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/telefonanruf/","https://devlo.ch/de/telefonanruf/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/ergebnisse_fall_studien/","https://devlo.ch/de/ergebnisse_fall_studien/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/blog/","https://devlo.ch/de/blog/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/biokraftstoffe-52-termine/","https://devlo.ch/de/fallstudien/biokraftstoffe-52-termine/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/stadtreinigung-71-termine/","https://devlo.ch/de/fallstudien/stadtreinigung-71-termine/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/mobilitat-40-interessenten/","https://devlo.ch/de/fallstudien/mobilitat-40-interessenten/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/biodiversitat-70-termine/","https://devlo.ch/de/fallstudien/biodiversitat-70-termine/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://devlo.ch/de/fallstudien/cybersicherheit-4500-unternehmen/","https://devlo.ch/de/fallstudien/cybersicherheit-4500-unternehmen/","self","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
